ndc9:913.365	"日本文学--小説．物語--源氏物語--梗概．抄録"
ndc9:913.366	"日本文学--小説．物語--源氏物語--秘事"
ndc9:913.369	"日本文学--小説．物語--源氏物語--訳文"
ndc9:913.37	"日本文学--小説．物語--古代後期［中古］：平安時代--説話物語：日本霊異記，江談抄，今昔物語，打聞集，古本説話集"
ndc9:913.38	"日本文学--小説．物語--古代後期［中古］：平安時代--平安時代後期の物語"
ndc9:913.381	"日本文学--小説．物語--平安時代後期の物語--狭衣物語"
ndc9:913.382	"日本文学--小説．物語--平安時代後期の物語--夜半の寝覚"
ndc9:913.383	"日本文学--小説．物語--平安時代後期の物語--浜松中納言物語"
ndc9:913.384	"日本文学--小説．物語--平安時代後期の物語--堤中納言物語"
ndc9:913.385	"日本文学--小説．物語--平安時代後期の物語--とりかへばや物語"
ndc9:913.389	"日本文学--小説．物語--平安時代後期の物語--散佚物語"
ndc9:913.39	"日本文学--小説．物語--古代後期［中古］：平安時代--歴史物語"
ndc9:913.392	"日本文学--小説．物語--歴史物語--栄華物語"
ndc9:913.393	"日本文学--小説．物語--歴史物語--大鏡"
ndc9:913.394	"日本文学--小説．物語--歴史物語--今鏡"
ndc9:913.399	"日本文学--小説．物語--古代後期［中古］：平安時代--軍記物語：将門記，陸奥話記"
ndc9:913.4	"日本文学--小説．物語--中世：鎌倉・室町時代"
ndc9:913.41	"日本文学--小説．物語--中世：鎌倉・室町時代--物語：住吉物語，石清水物語，松浦宮物語，鳴門中将物語，我身にたどる姫君，苔の衣，浅茅が露"
ndc9:913.42	"日本文学--小説．物語--中世：鎌倉・室町時代--歴史物語"
ndc9:913.425	"日本文学--小説．物語--歴史物語--水鏡"
ndc9:913.426	"日本文学--小説．物語--歴史物語--増鏡"
ndc9:913.43	"日本文学--小説．物語--中世：鎌倉・室町時代--軍記物語"
ndc9:913.432	"日本文学--小説．物語--軍記物語--保元物語"
ndc9:913.433	"日本文学--小説．物語--軍記物語--平治物語"
ndc9:913.434	"日本文学--小説．物語--軍記物語--平家物語．源平盛衰記"
ndc9:913.435	"日本文学--小説．物語--軍記物語--太平記"
ndc9:913.436	"日本文学--小説．物語--軍記物語--義経記"
ndc9:913.437	"日本文学--小説．物語--軍記物語--曽我物語"
ndc9:913.438	"日本文学--小説．物語--軍記物語--その他の軍記物語：承久記，応仁記"
ndc9:913.47	"日本文学--小説．物語--中世：鎌倉・室町時代--説話物語：古事談，発心集，宇治拾遺物語，今物語，十訓抄，古今著聞集，撰集抄，沙石集，雑談集"
ndc9:913.49	"日本文学--小説．物語--中世：鎌倉・室町時代--お伽草子：一寸法師，浦島太郎，文正草紙，ものぐさ太郎"
ndc9:913.5	"日本文学--小説．物語--近世：江戸時代"
ndc9:913.51	"日本文学--小説．物語--近世：江戸時代--仮名草子：浅井了意，鈴木正三"
ndc9:913.52	"日本文学--小説．物語--近世：江戸時代--浮世草子：井原西鶴，江島其碩"
ndc9:913.53	"日本文学--小説．物語--近世：江戸時代--洒落本：山東京伝，大田南畝"
ndc9:913.54	"日本文学--小説．物語--近世：江戸時代--人情本：為永春水"
ndc9:913.55	"日本文学--小説．物語--近世：江戸時代--滑稽本：十返舎一九，式亭三馬，滝亭鯉丈"
ndc9:913.56	"日本文学--小説．物語--近世：江戸時代--読本：滝沢馬琴，上田秋成"
ndc9:913.57	"日本文学--小説．物語--近世：江戸時代--草双紙：赤本，黒本，青本，黄表紙，合巻"
ndc9:913.59	"日本文学--小説．物語--近世：江戸時代--咄本：醒睡笑"
ndc9:913.6	"日本文学--小説．物語--近代：明治以後"
ndc9:913.68	"日本文学--小説．物語--近代：明治以後--複数作家の作品集"
ndc9:913.7	"日本文学--小説．物語--講談・落語本．笑話集"
ndc9:913.8	"日本文学--小説．物語--童話"
ndc9:913.9	"日本文学--小説．物語--翻訳小説"
ndc9:914	"日本文学--評論．エッセイ．随筆"
ndc9:914.3	"日本文学--評論．エッセイ．随筆--古代：平安時代まで"
ndc9:914.4	"日本文学--評論．エッセイ．随筆--中世：鎌倉・室町時代"
ndc9:914.42	"日本文学--評論．エッセイ．随筆--中世：鎌倉・室町時代--方丈記"
ndc9:914.45	"日本文学--評論．エッセイ．随筆--中世：鎌倉・室町時代--徒然草"
ndc9:914.5	"日本文学--評論．エッセイ．随筆--近世：江戸時代"
ndc9:914.6	"日本文学--評論．エッセイ．随筆--近代：明治以後"
ndc9:914.68	"日本文学--評論．エッセイ．随筆--近代：明治以後--複数作家の作品集"
ndc9:915	"日本文学--日記．書簡．紀行"
ndc9:915.3	"日本文学--日記．書簡．紀行--古代：平安時代まで"
ndc9:915.32	"日本文学--日記．書簡．紀行--古代：平安時代まで--土佐日記"
ndc9:915.33	"日本文学--日記．書簡．紀行--古代：平安時代まで--蜻蛉日記"
ndc9:915.34	"日本文学--日記．書簡．紀行--古代：平安時代まで--和泉式部日記"
ndc9:915.35	"日本文学--日記．書簡．紀行--古代：平安時代まで--紫式部日記"
ndc9:915.36	"日本文学--日記．書簡．紀行--古代：平安時代まで--更級日記"
ndc9:915.37	"日本文学--日記．書簡．紀行--古代：平安時代まで--讃岐典待日記"
ndc9:915.39	"日本文学--日記．書簡．紀行--古代：平安時代まで--その他の日記"
ndc9:915.4	"日本文学--日記．書簡．紀行--中世：鎌倉・室町時代"
ndc9:915.44	"日本文学--日記．書簡．紀行--中世：鎌倉・室町時代--十六夜日記"
ndc9:915.45	"日本文学--日記．書簡．紀行--中世：鎌倉・室町時代--海道記"
ndc9:915.46	"日本文学--日記．書簡．紀行--中世：鎌倉・室町時代--東関紀行"
ndc9:915.49	"日本文学--日記．書簡．紀行--中世：鎌倉・室町時代--その他の日記：建春門院中納言日記［たまきはる］，とはずがたり，中務内侍日記，弁内侍日記"
ndc9:915.5	"日本文学--日記．書簡．紀行--近世：江戸時代"
ndc9:915.6	"日本文学--日記．書簡．紀行--近代：明治以後"
ndc9:915.68	"日本文学--日記．書簡．紀行--近代：明治以後--複数作家の作品集"
ndc9:916	"日本文学--記録．手記．ルポルタージュ"
ndc9:917	"日本文学--箴言．アフォリズム．寸言"
ndc9:918	"日本文学--作品集：全集，選集"
ndc9:918.3	"日本文学--作品集：全集，選集--古代：平安時代まで"
ndc9:918.4	"日本文学--作品集：全集，選集--中世：鎌倉・室町時代"
ndc9:918.5	"日本文学--作品集：全集，選集--近世：江戸時代"
ndc9:918.6	"日本文学--作品集：全集，選集--近代：明治以後"
ndc9:918.68	"日本文学--作品集：全集，選集--近代：明治以後--個人全集・選集"
ndc9:919	"漢詩文．日本漢文学"
ndc9:919.02	"漢詩文．日本漢文学--日本漢文学史"
ndc9:919.07	"漢詩文．日本漢文学--詩文作法"
ndc9:919.3	"漢詩文．日本漢文学--古代：平安時代まで"
ndc9:919.4	"漢詩文．日本漢文学--中世：鎌倉・室町時代"
ndc9:919.5	"漢詩文．日本漢文学--近世：江戸時代"
ndc9:919.6	"漢詩文．日本漢文学--近代：明治以後"
ndc9:92	"中国文学（綱目）"
ndc9:920	"中国文学"
ndc9:920.2	"中国文学--中国文学史"
ndc9:920.23	"中国文学--中国文学史--先秦"
ndc9:920.24	"中国文学--中国文学史--秦．漢．魏晋南北朝．隋唐"
ndc9:920.25	"中国文学--中国文学史--五代．宋．元．明"
ndc9:920.26	"中国文学--中国文学史--清"
ndc9:920.27	"中国文学--中国文学史--近代：民国以後．作家の伝記［作家研究］"
ndc9:920.278	"中国文学--近代：民国以後．作家の伝記［作家研究］--作家の個人伝記［作家研究］"
ndc9:920.28	"中国文学--中国文学史--作家の列伝［作家研究］"
ndc9:920.8	"中国文学--叢書．全集．選集"
ndc9:921	"中国文学--詩歌．韻文．詩文"
ndc9:921.3	"中国文学--詩歌．韻文．詩文--先秦"
ndc9:921.32	"中国文学--詩歌．韻文．詩文--先秦--詩経"
ndc9:921.33	"中国文学--詩歌．韻文．詩文--先秦--楚辞"
ndc9:921.4	"中国文学--詩歌．韻文．詩文--秦．漢．魏晋南北朝．隋唐"
ndc9:921.42	"中国文学--詩歌．韻文．詩文--秦．漢．魏晋南北朝．隋唐--古詩．楽府"
ndc9:921.43	"中国文学--詩歌．韻文．詩文--秦．漢．魏晋南北朝．隋唐--唐詩"
ndc9:921.5	"中国文学--詩歌．韻文．詩文--五代．宋．元．明"
ndc9:921.6	"中国文学--詩歌．韻文．詩文--清"
ndc9:921.7	"中国文学--詩歌．韻文．詩文--近代：民国以後"
ndc9:921.9	"中国文学--詩歌．韻文．詩文--朝鮮人等の漢詩文"
ndc9:922	"中国文学--戯曲"
ndc9:922.5	"（中国文学--戯曲--元曲，雑劇，西廂記［書名］，琵琶記［書名］，明曲）"
ndc9:923	"中国文学--小説．物語"
ndc9:923.4	"中国文学--小説．物語--秦．漢．魏晋南北朝．隋唐：捜神記，冥祥記，博物志，世説新語，遊仙窟"
ndc9:923.5	"中国文学--小説．物語--五代．宋．元．明：剪灯新話，三国志演義，水滸伝，西遊記，金瓶梅，今古奇観"
ndc9:923.6	"中国文学--小説．物語--清：西湖佳話，肉蒲団，聊斎志異，儒林外史，紅楼夢"
ndc9:923.7	"中国文学--小説．物語--近代：民国以後"
ndc9:923.78	"中国文学--小説．物語--近代：民国以後--複数作家の作品集"
ndc9:924	"中国文学--評論．エッセイ．随筆"
ndc9:925	"中国文学--日記．書簡．紀行"
ndc9:926	"中国文学--記録．手記．ルポルタージュ"
ndc9:927	"中国文学--箴言．アフォリズム．寸言"
ndc9:928	"中国文学--作品集：全集，選集"
ndc9:928.3	"中国文学--作品集：全集，選集--先秦"
ndc9:928.4	"中国文学--作品集：全集，選集--秦．漢．魏晋南北朝．隋唐"
ndc9:928.5	"中国文学--作品集：全集，選集--五代．宋．元．明"
ndc9:928.6	"中国文学--作品集：全集，選集--清"
ndc9:928.7	"中国文学--作品集：全集，選集--近代"
ndc9:928.78	"中国文学--作品集：全集，選集--近代--個人全集・選集"
ndc9:929	"その他の東洋文学"
ndc9:929.1	"その他の東洋文学--朝鮮語"
ndc9:929.11	"（その他の東洋文学--朝鮮詩，郷歌）"
ndc9:929.12	"（その他の東洋文学--朝鮮戯曲）"
ndc9:929.13	"（その他の東洋文学--朝鮮小説）"
ndc9:929.14	"（その他の東洋文学--朝鮮随筆）"
ndc9:929.2	"その他の東洋文学--アイヌ語"
ndc9:929.21	"（その他の東洋文学--アイヌ語--ユーカラ）"
ndc9:929.29	"その他の東洋文学--古アジア諸語［極北諸語］：ギリヤーク語，チュクチ語"
ndc9:929.3	"その他の東洋文学--チベット・ビルマ諸語"
ndc9:929.31	"その他の東洋文学--チベット・ビルマ諸語--ヒマラヤ諸語．西夏語"
ndc9:929.32	"その他の東洋文学--チベット・ビルマ諸語--チベット語"
ndc9:929.35	"その他の東洋文学--チベット・ビルマ諸語--ビルマ語"
ndc9:929.36	"その他の東洋文学--カム・タイ諸語：タイ語"
ndc9:929.361	"（その他の東洋文学--タイ詩）"
ndc9:929.369	"その他の東洋文学--チベット・ビルマ諸語--ラオ語．シャン語．アホム語．カレン語群．ミャオ・ヤオ諸語"
ndc9:929.37	"その他の東洋文学--チベット・ビルマ諸語--モン・クメール諸語：ベトナム語"
ndc9:929.371	"（その他の東洋文学--ベトナム詩）"
ndc9:929.373	"（その他の東洋文学--ベトナム小説）"
ndc9:929.38	"その他の東洋文学--チベット・ビルマ諸語--クメール語［カンボジア語］．モン語"
ndc9:929.39	"その他の東洋文学--チベット・ビルマ諸語--ムンダー諸語．ニコバル島諸語"
ndc9:929.4	"その他の東洋文学--オーストロネシア諸語"
ndc9:929.41	"その他の東洋文学--オーストロネシア諸語--高山族諸語"
ndc9:929.42	"その他の東洋文学--オーストロネシア諸語--ムラユ語［マレー語．マライ語］．インドネシア語"
ndc9:929.43	"その他の東洋文学--オーストロネシア諸語--ジャワ語．パラオ語．スンダ語．マラガシ語"
ndc9:929.44	"その他の東洋文学--オーストロネシア諸語--タガログ語"
ndc9:929.441	"（その他の東洋文学--フィリピン詩）"
