ndc9:8	"言語（類目）"
ndc9:835.62	"英語--文法．語法--不変化詞--副詞"
ndc9:835.64	"英語--文法．語法--不変化詞--前置詞"
ndc9:835.65	"英語--文法．語法--不変化詞--接続詞"
ndc9:835.66	"英語--文法．語法--不変化詞--感動詞"
ndc9:836	"英語--文章．文体．作文"
ndc9:836.2	"英語--文章．文体．作文--修辞法"
ndc9:836.3	"英語--文章．文体．作文--修飾語"
ndc9:836.4	"英語--文章．文体．作文--公用文"
ndc9:836.5	"英語--文章．文体．作文--論文"
ndc9:836.6	"英語--文章．文体．作文--書簡文．日記文"
ndc9:836.7	"英語--文章．文体．作文--式辞"
ndc9:836.8	"英語--文章．文体．作文--文範．文例集"
ndc9:837	"英語--読本．解釈．会話"
ndc9:837.4	"英語--読本．解釈．会話--和文英訳"
ndc9:837.5	"英語--読本．解釈．会話--英文解釈．英文和訳"
ndc9:837.7	"英語--読本．解釈．会話--英語読本［リーダー］"
ndc9:837.8	"英語--読本．解釈．会話--英会話"
ndc9:838	"英語--方言．訛語"
ndc9:84	"ドイツ語（綱目）"
ndc9:840	"ドイツ語"
ndc9:840.2	"（ドイツ語--古高ドイツ語，中高ドイツ語）"
ndc9:840.7	"（ドイツ語--ドイツ語教育）"
ndc9:841	"ドイツ語--音声．音韻．文字"
ndc9:842	"ドイツ語--語源．語義．意味"
ndc9:843	"ドイツ語--辞典"
ndc9:844	"ドイツ語--語彙"
ndc9:845	"ドイツ語--文法．語法"
ndc9:846	"ドイツ語--文章．文体．作文"
ndc9:847	"ドイツ語--読本．解釈．会話"
ndc9:847.8	"ドイツ語--読本．解釈．会話--会話"
ndc9:848	"ドイツ語--方言．訛語"
ndc9:849	"その他のゲルマン諸語"
ndc9:849.1	"その他のゲルマン諸語--低地ドイツ語．フリジア語［フリースランド語］"
ndc9:849.2	"その他のゲルマン諸語--フラマン語"
ndc9:849.3	"その他のゲルマン諸語--オランダ語［蘭語］"
ndc9:849.39	"その他のゲルマン諸語--オランダ語［蘭語］--アフリカーンス語"
ndc9:849.4	"その他のゲルマン諸語--北欧語"
ndc9:849.5	"その他のゲルマン諸語--アイスランド語．古ノルド語"
ndc9:849.6	"その他のゲルマン諸語--ノルウェー語"
ndc9:849.7	"その他のゲルマン諸語--デンマーク語"
ndc9:849.8	"その他のゲルマン諸語--スウェーデン語"
ndc9:849.9	"その他のゲルマン諸語--イディッシュ語"
ndc9:849.99	"その他のゲルマン諸語--ゴート語"
ndc9:85	"フランス語（綱目）"
ndc9:850	"フランス語"
ndc9:850.2	"（フランス語--アングロノルマン語）"
ndc9:850_870	"フランス語--ロマンス諸語"
ndc9:851	"フランス語--音声．音韻．文字"
ndc9:852	"フランス語--語源．語義．意味"
ndc9:853	"フランス語--辞典"
ndc9:854	"フランス語--語彙"
ndc9:855	"フランス語--文法．語法"
ndc9:856	"フランス語--文章．文体．作文"
ndc9:857	"フランス語--読本．解釈．会話"
ndc9:857.8	"フランス語--読本．解釈．会話--会話"
ndc9:858	"フランス語--方言．訛語"
ndc9:859	"プロヴァンス語"
ndc9:859.1	"プロヴァンス語--音声．音韻．文字"
ndc9:859.2	"プロヴァンス語--語源．語義．意味"
ndc9:859.3	"プロヴァンス語--辞典"
ndc9:859.4	"プロヴァンス語--語彙"
