ndc9:6	"産業（類目）"
ndc9:654.5	"森林保護--気象の害：旱害，凍害，雪害，風水害，塩害"
ndc9:654.6	"森林保護--地異の害：地震，噴火"
ndc9:654.7	"森林保護--植物の害．樹病学"
ndc9:654.8	"森林保護--動物の害．森林動物学"
ndc9:655	"森林施業"
ndc9:655.1	"森林施業--森林経理．生産計画"
ndc9:655.2	"森林施業--測樹学"
ndc9:655.3	"森林施業--林木成長学"
ndc9:655.4	"森林施業--材積表．収穫表"
ndc9:655.5	"森林施業--施業計画"
ndc9:655.6	"森林施業--施業林"
ndc9:656	"森林工学"
ndc9:656.1	"森林工学--森林測量"
ndc9:656.2	"森林工学--森林土木"
ndc9:656.3	"森林工学--森林機械・器具"
ndc9:656.5	"森林工学--森林治水．治山事業．砂防工学"
ndc9:656.7	"森林工学--荒廃地の復旧：崩潰地"
ndc9:657	"森林利用．林産物．木材学"
ndc9:657.1	"森林利用．林産物．木材学--伐木"
ndc9:657.2	"森林利用．林産物．木材学--木材の構造と性質．木材理学"
ndc9:657.3	"森林利用．林産物．木材学--製材．製材工場．製材機械・装置"
ndc9:657.4	"森林利用．林産物．木材学--木材乾燥法．人工乾燥"
ndc9:657.5	"森林利用．林産物．木材学--木材保存．木材腐朽・防腐．防虫"
ndc9:657.6	"森林利用．林産物．木材学--木質材料．改良木材：合板，積層木材，集成材，ベニヤ板"
ndc9:657.7	"森林利用．林産物．木材学--木材加工・接着・着色・塗装"
ndc9:657.8	"森林利用．林産物．木材学--森林副産物"
ndc9:657.9	"森林利用．林産物．木材学--竹材"
ndc9:658	"林産製造"
ndc9:658.1	"林産製造--木材乾留"
ndc9:658.2	"林産製造--木材炭化．木炭．炭焼き"
ndc9:658.3	"林産製造--森林化学．木材化学．木材組成・分析"
ndc9:658.4	"林産製造--木材繊維：パルプ，リグニン"
ndc9:658.5	"林産製造--木材糖化．木材醗酵"
ndc9:658.6	"林産製造--油脂．蝋"
ndc9:658.7	"林産製造--樹脂：ゴム液，ラテックス，精油，うるし"
ndc9:658.9	"林産製造--タンニン．色素"
ndc9:659	"狩猟"
ndc9:659.7	"狩猟--鳥獣保護・繁殖：禁猟，禁猟区"
ndc9:66	"水産業（綱目）"
ndc9:660	"水産業"
ndc9:660.1	"水産業--水産学"
ndc9:660.6	"水産業--水産学会・団体"
ndc9:660.7	"水産業--研究法．指導法．水産教育"
ndc9:661	"水産経済・行政・経営"
ndc9:661.1	"水産経済・行政・経営--漁業政策・行政．漁業制度"
ndc9:661.4	"水産経済・行政・経営--水産物価格および市場．流通と消費"
ndc9:661.5	"水産経済・行政・経営--水産金融．漁業資本．漁業手形"
ndc9:661.6	"水産経済・行政・経営--漁業協同組合．水産業協同組合"
ndc9:661.7	"水産経済・行政・経営--漁業経営．網元．漁業労働"
ndc9:661.8	"水産経済・行政・経営--漁家経済"
ndc9:661.9	"水産経済・行政・経営--漁村．漁民問題．海女．漁港"
ndc9:662	"水産業および漁業史・事情"
ndc9:662.9	"水産業および漁業史・事情--水産地理"
ndc9:663	"水産基礎学"
ndc9:663.1	"水産基礎学--海洋と陸水"
ndc9:663.2	"水産基礎学--漁業気象"
ndc9:663.3	"水産基礎学--水産物理学"
ndc9:663.4	"水産基礎学--水産化学"
ndc9:663.6	"水産基礎学--水産生物学．水産資源．標識放流．回遊"
ndc9:663.7	"水産基礎学--水産植物学"
ndc9:663.8	"水産基礎学--水産動物学"
ndc9:663.9	"水産基礎学--水産保護．魚病学．病害と害敵"
ndc9:664	"漁労．漁業各論"
ndc9:664.1	"漁労．漁業各論--漁場．漁期．漁況．漁獲量"
ndc9:664.2	"漁労．漁業各論--淡水漁業"
ndc9:664.3	"漁労．漁業各論--海面漁業"
ndc9:664.4	"漁労．漁業各論--漁具・漁法による種別"
ndc9:664.5	"漁労．漁業各論--工船式漁業"
ndc9:664.6	"漁労．漁業各論--魚類"
ndc9:664.7	"漁労．漁業各論--貝類．甲殼類．軟体類．棘皮類"
ndc9:664.8	"漁労．漁業各論--海藻類：こんぶ，わかめ，のり類，てんぐさ"
ndc9:664.9	"漁労．漁業各論--海獣類：くじら，ラッコ，オットセイ"
ndc9:665	"漁船．漁具"
ndc9:665.2	"漁船．漁具--漁船"
ndc9:665.3	"漁船．漁具--漁猟機械・装置．集魚灯．魚群探知機"
ndc9:665.5	"漁船．漁具--漁具：網糸，浮子，沈子，かぎ，もり"
ndc9:665.6	"漁船．漁具--漁網"
ndc9:665.8	"漁船．漁具--資材．燃料"
ndc9:666	"水産増殖．養殖業"
ndc9:666.1	"〔水産増殖．養殖業--一般事項〕"
ndc9:666.2	"水産増殖．養殖業--淡水養殖法＜一般＞：湖沼，河川"
ndc9:666.3	"水産増殖．養殖業--海水養殖法＜一般＞"
ndc9:666.6	"水産増殖．養殖業--魚類増殖［養魚］"
ndc9:666.7	"水産増殖．養殖業--貝類・軟体類・甲殼類増殖"
ndc9:666.8	"水産増殖．養殖業--藻類増殖"
ndc9:666.9	"水産増殖．養殖業--観賞魚：金魚，熱帯魚，メダカ"
ndc9:667	"水産製造．水産食品"
ndc9:667.1	"水産製造．水産食品--水産加工の化学．水産機械・装置"
ndc9:667.2	"水産製造．水産食品--乾製品：素乾，煮乾，節類，焼乾，塩乾"
ndc9:667.3	"水産製造．水産食品--燻製品"
ndc9:667.4	"水産製造．水産食品--塩蔵品"
