ndc9:332.9	"経済史・事情．経済体制--経済地理"
ndc9:333	"経済政策．国際経済"
ndc9:333.1	"経済政策．国際経済--経済計画．計画経済"
ndc9:333.2	"経済政策．国際経済--統制経済．管理経済"
ndc9:333.3	"経済政策．国際経済--戦争経済：戦時経済，賠償，戦債"
ndc9:333.4	"経済政策．国際経済--アウタルキー［自給自足経済］"
ndc9:333.5	"経済政策．国際経済--国土計画．地域計画［総合開発］"
ndc9:333.6	"経済政策．国際経済--国際経済"
ndc9:333.7	"経済政策．国際経済--経済統合．経済ブロック"
ndc9:333.8	"経済政策．国際経済--経済協力．経済援助"
ndc9:333.9	"経済政策．国際経済--貿易"
ndc9:334	"人口．土地．資源"
ndc9:334.1	"人口．土地．資源--人口理論：マルサス主義，新マルサス主義"
ndc9:334.2	"人口．土地．資源--人口史．人口統計．人口構成．人口密度"
ndc9:334.3	"人口．土地．資源--人口問題．人口政策"
ndc9:334.4	"人口．土地．資源--移民［来住民］・難民問題．移民［来住民］・難民政策"
ndc9:334.5	"人口．土地．資源--移民［流出民］・植民問題．植民政策"
ndc9:334.6	"人口．土地．資源--土地．土地経済．地価．土地行政．土地法"
ndc9:334.7	"人口．土地．資源--資源．資源行政．資源法"
ndc9:335	"企業．経営"
ndc9:335.1	"企業．経営--経営学"
ndc9:335.2	"企業．経営--経営史・事情"
ndc9:335.3	"企業．経営--企業構造．産業組織．企業形態"
ndc9:335.4	"企業．経営--私企業．会社"
ndc9:335.5	"企業．経営--企業集中［企業結合］．独占"
ndc9:335.6	"企業．経営--協同組合．産業組合"
ndc9:335.7	"企業．経営--官業．公企業：公共企業体，公社，公団，統制会"
ndc9:335.8	"企業．経営--公益企業"
ndc9:335.9	"企業．経営--社会主義企業"
ndc9:336	"経営管理"
ndc9:336.1	"経営管理--経営政策．経営計画"
ndc9:336.2	"経営管理--合理化．生産性．能率"
ndc9:336.3	"経営管理--経営組織．管理組織"
ndc9:336.4	"経営管理--人事管理．労務管理．人間関係．ビジネスマナー．提案制度"
ndc9:336.5	"経営管理--事務管理"
ndc9:336.6	"経営管理--生産管理．生産工学．管理工学"
ndc9:336.7	"経営管理--営業管理［業務管理］．商業経営．商店"
ndc9:336.8	"経営管理--財務管理．経営財務"
ndc9:336.9	"経営管理--財務会計［企業会計］．会計学"
ndc9:337	"貨幣．通貨"
ndc9:337.1	"貨幣．通貨--貨幣理論・学説・思想"
ndc9:337.2	"貨幣．通貨--貨幣史・事情．貨幣制度．各国の通貨"
ndc9:337.3	"貨幣．通貨--通貨政策．通貨問題．幣制改革"
ndc9:337.4	"貨幣．通貨--紙幣．銀行券：発行・準備・兌換制度"
ndc9:337.8	"貨幣．通貨--物価"
ndc9:337.9	"貨幣．通貨--景気変動：インフレーション，デフレーション"
ndc9:338	"金融．銀行．信託"
ndc9:338.1	"金融．銀行．信託--金融市場．資金"
ndc9:338.2	"金融．銀行．信託--金融史・事情．銀行史・事情"
ndc9:338.3	"金融．銀行．信託--金融・銀行政策．金融統制"
ndc9:338.4	"金融．銀行．信託--発券銀行．中央銀行"
ndc9:338.5	"金融．銀行．信託--銀行経営．銀行業務"
ndc9:338.6	"金融．銀行．信託--各種の金融機関・銀行"
ndc9:338.7	"金融．銀行．信託--庶民金融．消費金融．消費者金融．クレジット"
ndc9:338.8	"金融．銀行．信託--信託業．信託銀行"
ndc9:338.9	"金融．銀行．信託--国際金融"
ndc9:339	"保険"
ndc9:339.1	"保険--保険理論．保険数学．アクチュアリー"
ndc9:339.2	"保険--保険業史・事情"
ndc9:339.3	"保険--保険政策・行政"
ndc9:339.4	"保険--生命保険"
ndc9:339.5	"保険--損害保険"
ndc9:339.6	"保険--火災保険"
