ndc9:531	"機械力学・材料・設計"
ndc9:531.1	"機械力学・材料・設計--材料力学"
ndc9:531.2	"機械力学・材料・設計--機械材料．金属材料"
ndc9:531.3	"機械力学・材料・設計--機械の要素．機構学．機械力学"
ndc9:531.4	"機械力学・材料・設計--機械部分の締結法"
ndc9:531.5	"機械力学・材料・設計--軸．軸継手．軸受"
ndc9:531.6	"機械力学・材料・設計--歯車．歯車伝動装置"
ndc9:531.7	"機械力学・材料・設計--巻掛伝動装置．可撓体による伝動"
ndc9:531.8	"機械力学・材料・設計--潤滑技術．トライボロジー"
ndc9:531.9	"機械力学・材料・設計--機械設計"
ndc9:532	"機械工作．工作機械"
ndc9:532.1	"機械工作．工作機械--旋盤：ターレット旋盤，自動旋盤，旋盤作業"
ndc9:532.2	"機械工作．工作機械--ボール盤．中ぐり盤．穿孔加工"
ndc9:532.3	"機械工作．工作機械--平削盤．形削盤．立て削盤"
ndc9:532.4	"機械工作．工作機械--フライス盤．ブローチ盤．リーマ盤"
ndc9:532.5	"機械工作．工作機械--研削盤．研削加工．砥石．ホーニング．ラップ盤．超仕上"
ndc9:532.6	"機械工作．工作機械--切削工具：バイト，ドリル，フライス，リーマ，タップ，ダイス，ブローチ，ダイヤモンド工具"
ndc9:532.7	"機械工作．工作機械--手仕上．製罐．組立作業"
ndc9:532.8	"機械工作．工作機械--測定工具．ゲージ．マイクロメータ"
ndc9:532.9	"機械工作．工作機械--工作機械の据付・運転・保守"
ndc9:533	"熱機関．熱工学"
ndc9:533.1	"熱機関．熱工学--理論．伝熱工学．断熱．断熱材．蒸気表"
ndc9:533.3	"熱機関．熱工学--蒸気原動力．蒸気工学"
ndc9:533.4	"熱機関．熱工学--内燃機関"
ndc9:533.5	"熱機関．熱工学--ジェットエンジン．ロケットエンジン"
ndc9:533.6	"熱機関．熱工学--太陽熱利用．地熱利用"
ndc9:533.8	"熱機関．熱工学--冷凍工学．低温技術．冷凍機"
ndc9:534	"流体機械．流体工学"
ndc9:534.1	"流体機械．流体工学--水力学．流体力学．空洞現象"
ndc9:534.3	"流体機械．流体工学--水車．水タービン．水力原動機"
ndc9:534.4	"流体機械．流体工学--ポンプ［揚水機］"
ndc9:534.5	"流体機械．流体工学--油圧機．水圧機"
ndc9:534.6	"流体機械．流体工学--流体輸送：パイプライン，弁，コック，パッキング，ホース"
ndc9:534.7	"流体機械．流体工学--風車．風力機関．風力の利用"
ndc9:534.8	"流体機械．流体工学--送風機．扇風機"
ndc9:534.9	"流体機械．流体工学--空気機械．空気工学"
ndc9:535	"精密機器．光学機器"
ndc9:535.2	"精密機器．光学機器--時計．クロノメータ"
ndc9:535.3	"精密機器．光学機器--計器．計測器"
ndc9:535.4	"精密機器．光学機器--理化学器械．試験機．医療機器"
ndc9:535.5	"精密機器．光学機器--計算機械．統計機械"
ndc9:535.8	"精密機器．光学機器--光学機器"
ndc9:536	"運輸工学．車輌．運搬機械"
ndc9:536.1	"運輸工学．車輌．運搬機械--機関車工学．蒸気機関車"
ndc9:536.2	"運輸工学．車輌．運搬機械--内燃機関車．気動車：ディーゼルカー，ガソリンカー"
ndc9:536.3	"運輸工学．車輌．運搬機械--特殊機関車：原子力機関車，その他の機関車"
ndc9:536.4	"運輸工学．車輌．運搬機械--客貨車．車輌付属装置．艤装"
ndc9:536.7	"運輸工学．車輌．運搬機械--荷役・運搬機械"
ndc9:536.8	"運輸工学．車輌．運搬機械--軽車輌"
ndc9:536.9	"運輸工学．車輌．運搬機械--ホーバークラフト"
ndc9:537	"自動車工学"
ndc9:537.1	"自動車工学--自動車の設計・製図．自動車材料・部品"
ndc9:537.2	"自動車工学--自動車機関"
ndc9:537.3	"自動車工学--伝動装置：クラッチ，推進軸，歯車，変速機"
ndc9:537.4	"自動車工学--走行装置．車軸．車輪．タイヤ．ブレーキ"
ndc9:537.5	"自動車工学--車体．台枠．シャーシー．付属部品"
ndc9:537.6	"自動車工学--電気装置．電子装置"
ndc9:537.7	"自動車工学--自動車の整備・修理・保守"
ndc9:537.8	"自動車工学--操縦法．運転"
ndc9:537.9	"自動車工学--自動車の種類"
ndc9:538	"航空宇宙工学"
ndc9:538.1	"航空宇宙工学--航空理論．航空力学"
ndc9:538.2	"航空宇宙工学--機体構造・設計"
ndc9:538.3	"航空宇宙工学--航空発動機．プロペラ．ジェット推進"
ndc9:538.4	"航空宇宙工学--航空機器［補機］．艤装．航空計器"
ndc9:538.5	"航空宇宙工学--気球．飛行船"
ndc9:538.6	"航空宇宙工学--飛行機"
ndc9:538.7	"航空宇宙工学--軍用機"
ndc9:538.8	"航空宇宙工学--航空術．運航技術"
ndc9:538.9	"航空宇宙工学--宇宙飛行．宇宙開発．人工衛星"
ndc9:539	"原子力工学"
ndc9:539.1	"原子力工学--核物理．核化学"
ndc9:539.2	"原子力工学--原子炉"
ndc9:539.3	"原子力工学--各種の原子炉"
ndc9:539.4	"原子力工学--核燃料"
ndc9:539.5	"原子力工学--原子炉材料"
ndc9:539.6	"原子力工学--放射線．放射性同位元素"
ndc9:539.7	"原子力工学--原子力発電．原子力発電炉"
ndc9:539.8	"原子力工学--各種の原子力利用"
ndc9:539.9	"原子力工学--保守．安全"
ndc9:54	"電気工学（綱目）"
ndc9:540	"電気工学"
ndc9:540.7	"電気工学--研究法．指導法"
ndc9:540.9	"電気工学--電気事業．電力事業"
ndc9:541	"電気回路・計測・材料"
ndc9:541.1	"電気回路・計測・材料--電気回路．回路理論"
ndc9:541.2	"電気回路・計測・材料--電気数学．電気計算．回路計算"
ndc9:541.3	"電気回路・計測・材料--電圧"
ndc9:541.5	"電気回路・計測・材料--電気測定・制御"
ndc9:541.6	"電気回路・計測・材料--電気材料．部品"
ndc9:542	"電気機器"
ndc9:542.1	"〔電気機器--共通事項〕"
ndc9:542.2	"電気機器--直流機．回転機＜一般＞"
ndc9:542.3	"電気機器--交流機．同期機"
ndc9:542.4	"電気機器--誘導機．非同期機"
ndc9:542.5	"電気機器--回転変流機．整流子電動機"
ndc9:542.6	"電気機器--交流整流子機"
ndc9:542.7	"電気機器--変圧器．電圧調整器"
ndc9:542.8	"電気機器--整流器"
ndc9:542.9	"電気機器--特殊機器．コンデンサ"
ndc9:543	"発電"
ndc9:543.1	"発電--電力計画．電力系統"
ndc9:543.3	"発電--水力発電"
ndc9:543.4	"発電--火力発電．内燃力発電．ガス発電"
ndc9:543.5	"発電--原子力発電"
ndc9:543.6	"発電--風力発電．潮力発電．波力発電"
ndc9:543.7	"発電--太陽熱発電．地熱発電"
ndc9:543.8	"発電--太陽光発電"
ndc9:543.9	"発電--電池"
ndc9:544	"送電．変電．配電"
ndc9:544.1	"送電．変電．配電--電線路"
ndc9:544.2	"送電．変電．配電--送電：送電方式・電圧，電路定数，異常現象，故障計算法"
ndc9:544.3	"送電．変電．配電--変電：変電所，電圧調整所"
ndc9:544.4	"送電．変電．配電--配電"
ndc9:544.5	"送電．変電．配電--開閉器．遮断器．接続器．接触器"
ndc9:544.6	"送電．変電．配電--保護装置．ヒューズ．継電器"
ndc9:544.7	"送電．変電．配電--避雷器．避雷針．消弧リアクトル"
ndc9:544.8	"送電．変電．配電--配電盤．制御器"
ndc9:545	"電灯．照明．電熱"
ndc9:545.2	"電灯．照明．電熱--電灯．電球"
ndc9:545.3	"電灯．照明．電熱--測光．光束．照明計算"
ndc9:545.4	"電灯．照明．電熱--照明器具［灯具］"
ndc9:545.6	"電灯．照明．電熱--各種の照明"
ndc9:545.7	"電灯．照明．電熱--遮光"
ndc9:545.8	"電灯．照明．電熱--電熱．電熱計算．電気炉．高周波加熱"
ndc9:546	"電気鉄道"
ndc9:546.1	"電気鉄道--鉄道電化．電化計画"
ndc9:546.2	"電気鉄道--電車線路．導軌条路．帰線"
ndc9:546.3	"電気鉄道--配電．変電所"
ndc9:546.4	"電気鉄道--電気機関車"
ndc9:546.5	"電気鉄道--電気車．電動車と付属車"
ndc9:546.6	"電気鉄道--集電装置．制御・ブレーキ装置"
ndc9:546.7	"電気鉄道--運転：運転ダイヤ，速度，牽引力"
ndc9:546.8	"電気鉄道--信号保安装置．鉄道通信"
ndc9:547	"通信工学．電気通信"
ndc9:547.1	"通信工学．電気通信--通信回路・測定"
ndc9:547.2	"通信工学．電気通信--通信方式．通信線路．通信網"
ndc9:547.3	"通信工学．電気通信--通信機器．電気音響工学．通信材料・部品"
ndc9:547.4	"通信工学．電気通信--有線通信"
ndc9:547.5	"通信工学．電気通信--無線通信．電波工学．高周波工学"
ndc9:547.6	"通信工学．電気通信--各種無線．無線局"
ndc9:547.7	"通信工学．電気通信--放送無線"
ndc9:547.8	"通信工学．電気通信--画像工学．テレビジョン"
ndc9:547.9	"通信工学．電気通信--高周波応用．超音波応用"
ndc9:548	"情報工学"
ndc9:548.1	"情報工学--情報理論"
ndc9:548.2	"情報工学--電子計算機：ディジタル計算機，アナログ計算機"
ndc9:548.3	"情報工学--自動制御工学．オートメーション．ロボット"
ndc9:548.5	"情報工学--人間工学"
ndc9:548.6	"情報工学--生体工学"
ndc9:548.7	"情報工学--シミュレーション"
ndc9:548.9	"情報工学--情報科学"
ndc9:549	"電子工学"
ndc9:549.1	"電子工学--電子理論：電子放出・伝導，空間電荷，雑音"
ndc9:549.2	"電子工学--電子管の構造・材料．測定．真空技術"
ndc9:549.3	"電子工学--電子回路"
ndc9:549.4	"電子工学--真空管［熱電子管］"
ndc9:549.5	"電子工学--特殊電子管"
ndc9:549.6	"電子工学--トランジスタ"
ndc9:549.7	"電子工学--集積回路［IC］．LSI"
ndc9:549.8	"電子工学--固体電子工学：半導体素子，セレン，ゲルマニウム，シリコン"
ndc9:549.9	"電子工学--電子装置の応用"
ndc9:55	"海洋工学．船舶工学（綱目）"
ndc9:550	"海洋工学．船舶工学"
ndc9:550.7	"（海洋工学．船舶工学--ロシア語 (海事用)，試験水槽，スペイン語 (海事用)）"
ndc9:550.9	"海洋工学．船舶工学--造船業：生産と流通"
ndc9:551	"理論造船学"
ndc9:551.1	"理論造船学--船体復原性と動揺"
ndc9:551.2	"理論造船学--船体抵抗と推進"
ndc9:551.3	"理論造船学--舵と旋回"
ndc9:551.4	"理論造船学--船体強度と振動"
ndc9:551.5	"理論造船学--船舶設計・製図"
ndc9:551.9	"理論造船学--船舶算法：吃水，乾舷，屯数，トリム"
ndc9:552	"船体構造・材料・施工"
ndc9:552.1	"船体構造・材料・施工--構造設計"
ndc9:552.2	"船体構造・材料・施工--造船材料"
ndc9:552.3	"船体構造・材料・施工--材料による船の種類：構造と設計"
ndc9:552.7	"船体構造・材料・施工--推進力による船の種類：構造と設計"
ndc9:552.8	"船体構造・材料・施工--船体施工．熔接．塗装"
ndc9:552.9	"船体構造・材料・施工--造船所．進水"
ndc9:553	"船体艤装．船舶設備"
ndc9:553.1	"船体艤装．船舶設備--居住・衛生設備：給水，通風，暖冷房"
ndc9:553.2	"船体艤装．船舶設備--電気設備．無線装置"
ndc9:553.3	"船体艤装．船舶設備--防水・排水・消火・防音装置"
ndc9:553.4	"船体艤装．船舶設備--舵取装置"
ndc9:553.5	"船体艤装．船舶設備--配管装置"
ndc9:553.6	"船体艤装．船舶設備--救命設備：救命艇，救命筏，救命浮器"
ndc9:553.7	"船体艤装．船舶設備--繋船設備：錨，錨鎖，ロープ"
ndc9:553.8	"船体艤装．船舶設備--荷役設備．載貨装置"
ndc9:554	"舶用機関［造機］"
ndc9:554.3	"舶用機関［造機］--舶用ボイラ"
ndc9:554.4	"舶用機関［造機］--舶用汽機"
ndc9:554.5	"舶用機関［造機］--舶用タービン"
ndc9:554.6	"舶用機関［造機］--舶用原子力機関"
ndc9:554.8	"舶用機関［造機］--舶用内燃機関"
ndc9:554.9	"舶用機関［造機］--舶用補助機関．舶用推進器"
ndc9:555	"船舶修理．保守"
ndc9:555.5	"船舶修理．保守--船食虫"
ndc9:555.6	"船舶修理．保守--船底汚損．さび止"
ndc9:555.8	"船舶修理．保守--ドック［船渠］"
ndc9:555.9	"船舶修理．保守--サルベージ：沈没船・坐礁船の引揚"
ndc9:556	"各種の船舶・艦艇"
ndc9:556.3	"各種の船舶・艦艇--商船"
ndc9:556.4	"各種の船舶・艦艇--旅客船"
ndc9:556.5	"各種の船舶・艦艇--客貨船"
ndc9:556.6	"各種の船舶・艦艇--貨物船"
ndc9:556.7	"各種の船舶・艦艇--特殊船"
ndc9:556.9	"各種の船舶・艦艇--軍艦"
ndc9:557	"航海．航海学"
ndc9:557.1	"航海．航海学--船舶運用術．船舶操縦法［操船］"
ndc9:557.2	"航海．航海学--航海計器．航海用具"
ndc9:557.3	"航海．航海学--航法．船位決定法"
ndc9:557.4	"航海．航海学--船舶通信．船舶信号．霧中信号"
ndc9:557.5	"航海．航海学--航路標識：灯台，灯船，浮標"
ndc9:557.6	"航海．航海学--水先人．水先案内"
ndc9:557.7	"航海．航海学--水路．水路測量"
ndc9:557.8	"航海．航海学--海難．海上保安"
ndc9:558	"海洋開発"
ndc9:558.3	"海洋開発--調査技術：海面，海中，海底，海底下"
ndc9:558.4	"海洋開発--資源開発：海底石油，天然ガス"
ndc9:558.5	"海洋開発--海洋空間の利用：海上都市，海上空港，海中公園，海中居住，作業台"
ndc9:558.6	"海洋開発--海洋エネルギーの利用：潮汐，波，温度差"
ndc9:558.7	"海洋開発--海水の利用＜一般＞"
ndc9:558.9	"海洋開発--潜水技術．潜水業．潜水機器"
ndc9:559	"兵器．軍事工学"
ndc9:559.1	"兵器．軍事工学--銃砲．火器．砲術．射撃術"
ndc9:559.2	"兵器．軍事工学--火工品"
ndc9:559.3	"兵器．軍事工学--化学兵器．毒ガス技術"
ndc9:559.4	"兵器．軍事工学--機甲兵器：戦車，装甲車輌"
ndc9:559.5	"兵器．軍事工学--航空兵器．誘導ミサイル・ロケット兵器"
ndc9:559.6	"兵器．軍事工学--光学兵器．音響兵器．電気兵器．電子兵器"
ndc9:559.7	"兵器．軍事工学--核兵器：原子爆弾，水素爆弾"
ndc9:559.8	"兵器．軍事工学--防御兵器．防空技術．偽装"
ndc9:559.9	"兵器．軍事工学--軍事土木：軍用路，軍用橋，軍用鉄道，要塞，塹壕"
ndc9:56	"金属工学．鉱山工学（綱目）"
ndc9:560	"金属工学．鉱山工学"
ndc9:560.9	"金属工学．鉱山工学--鉱業経済"
ndc9:561	"採鉱．選鉱"
ndc9:561.1	"採鉱．選鉱--鉱床・応用地質学．応用鉱物学"
ndc9:561.2	"採鉱．選鉱--鉱山測量"
ndc9:561.3	"採鉱．選鉱--探鉱．試錐"
ndc9:561.4	"採鉱．選鉱--開坑．採掘．掘さく"
ndc9:561.5	"採鉱．選鉱--鉱山機械・器具"
ndc9:561.6	"採鉱．選鉱--鉱山運搬"
ndc9:561.7	"採鉱．選鉱--坑内設備・装置"
ndc9:561.8	"採鉱．選鉱--選鉱．鉱石処理"
ndc9:561.9	"採鉱．選鉱--鉱山災害・保安．鉱山衛生"
ndc9:562	"各種の金属鉱床・採掘"
ndc9:562.1	"各種の金属鉱床・採掘--金鉱．銀鉱．白金鉱．水銀鉱"
ndc9:562.2	"各種の金属鉱床・採掘--銅鉱"
ndc9:562.3	"各種の金属鉱床・採掘--鉛鉱．亜鉛鉱．カドミウム鉱．錫鉱"
ndc9:562.4	"各種の金属鉱床・採掘--マンガン鉱．タングステン鉱．モリブデン鉱"
ndc9:562.5	"各種の金属鉱床・採掘--ボーキサイト鉱"
ndc9:562.6	"各種の金属鉱床・採掘--鉄鉱．ニッケル鉱．コバルト鉱．クロム鉱"
ndc9:562.7	"各種の金属鉱床・採掘--放射性金属の鉱石：ラジウム，トリウム，ウラン鉱"
ndc9:562.8	"各種の金属鉱床・採掘--稀有金属の鉱石"
ndc9:563	"冶金．合金"
ndc9:563.1	"冶金．合金--化学冶金学"
ndc9:563.3	"冶金．合金--冶金炉"
ndc9:563.4	"冶金．合金--電気冶金．電解冶金"
ndc9:563.5	"冶金．合金--金属分析．試金"
ndc9:563.6	"冶金．合金--物理冶金学．金属組織学"
ndc9:563.7	"冶金．合金--金属腐蝕"
ndc9:563.8	"冶金．合金--合金学"
ndc9:564	"鉄鋼"
ndc9:564.1	"鉄鋼--製銑法．銑鉄．錬鉄"
ndc9:564.2	"鉄鋼--製鋼法．鋼［炭素鋼］"
ndc9:564.5	"鉄鋼--鉄鋼の分析"
ndc9:564.6	"鉄鋼--鉄鋼の組織・性質"
ndc9:564.7	"鉄鋼--鉄銹"
ndc9:564.8	"鉄鋼--特殊鋼．フェロアロイ"
ndc9:564.9	"鉄鋼--製鉄所・鉄鋼工場の設備"
ndc9:565	"非鉄金属"
ndc9:565.1	"非鉄金属--貴金属．水銀"
ndc9:565.2	"非鉄金属--銅．産銅業"
ndc9:565.3	"非鉄金属--低温熔融金属"
ndc9:565.4	"非鉄金属--高温熔融金属"
ndc9:565.5	"非鉄金属--軽金属"
ndc9:565.6	"非鉄金属--その他"
ndc9:565.7	"非鉄金属--放射性金属：ラジウム，トリウム，ウラン"
ndc9:565.8	"非鉄金属--稀有金属：ジルコニウム，ゲルマニウム，セレン，シリコン"
ndc9:566	"金属加工．製造冶金"
ndc9:566.1	"金属加工．製造冶金--鋳造．鋳物工業"
ndc9:566.2	"金属加工．製造冶金--塑性加工．鍛工"
ndc9:566.3	"金属加工．製造冶金--熱処理：焼入，焼戻し，焼ならし，焼なまし"
