ndc9:438.1	"環式化合物の化学--炭素環式化合物［単素環式化合物］：脂環式化合物，芳香族化合物"
ndc9:438.2	"環式化合物の化学--炭化水素．ハロゲン化物"
ndc9:438.3	"環式化合物の化学--オキシ化合物．ナフトール"
ndc9:438.4	"環式化合物の化学--オキソ化合物．アルデヒド．ケトン"
ndc9:438.5	"環式化合物の化学--カルボン酸"
ndc9:438.6	"環式化合物の化学--硫黄化合物"
ndc9:438.7	"環式化合物の化学--窒素化合物"
ndc9:438.8	"環式化合物の化学--その他の炭素環式化合物"
ndc9:438.9	"環式化合物の化学--複素環式化合物"
ndc9:439	"天然物質の化学"
ndc9:439.1	"天然物質の化学--炭水化物．配糖体．精油．テルペン"
ndc9:439.2	"天然物質の化学--ステロイド"
ndc9:439.3	"天然物質の化学--アルカロイド"
ndc9:439.4	"天然物質の化学--蛋白質"
ndc9:439.5	"天然物質の化学--天然色素"
ndc9:439.6	"天然物質の化学--タンニン"
ndc9:439.7	"天然物質の化学--ビタミン"
ndc9:439.8	"天然物質の化学--酵素"
ndc9:44	"天文学．宇宙科学（綱目）"
ndc9:440	"天文学．宇宙科学"
ndc9:440.1	"〔〕"
ndc9:440.7	"天文学．宇宙科学--研究法．指導法．天文学教育"
ndc9:440.8	"天文学．宇宙科学--叢書．全集．選集"
ndc9:440.9	"天文学．宇宙科学--未確認飛行物体［UFO］"
ndc9:441	"理論天文学．数理天文学"
ndc9:441.1	"理論天文学．数理天文学--天体力学：三体問題，多体問題"
ndc9:441.2	"理論天文学．数理天文学--軌道論"
ndc9:441.3	"理論天文学．数理天文学--摂動論"
ndc9:441.4	"理論天文学．数理天文学--歳差論．章動論"
ndc9:441.7	"理論天文学．数理天文学--蝕論"
ndc9:442	"実地天文学．天体観測法"
ndc9:442.1	"実地天文学．天体観測法--天文台．天体観測所"
ndc9:442.2	"実地天文学．天体観測法--天測機械"
ndc9:442.3	"実地天文学．天体観測法--天体望遠鏡．反射望遠鏡"
ndc9:442.4	"実地天文学．天体観測法--六分儀．経緯儀．子午儀．天頂儀．赤道儀"
ndc9:442.6	"実地天文学．天体観測法--天体測光学．天体分光学"
ndc9:442.7	"実地天文学．天体観測法--天体写真術"
ndc9:442.8	"実地天文学．天体観測法--球面天文学"
ndc9:442.9	"実地天文学．天体観測法--位置天文学"
ndc9:443	"恒星．恒星天文学"
ndc9:443.1	"恒星．恒星天文学--統計天文学"
ndc9:443.2	"恒星．恒星天文学--恒星物理学．恒星スペクトル"
ndc9:443.4	"恒星．恒星天文学--連星．重星"
ndc9:443.5	"恒星．恒星天文学--新星．変光星．超新星"
ndc9:443.6	"恒星．恒星天文学--銀河．銀河系"
ndc9:443.7	"恒星．恒星天文学--星団．星雲．クェーサー"
ndc9:443.8	"恒星．恒星天文学--星図．星表．星座"
ndc9:443.9	"恒星．恒星天文学--宇宙論．宇宙進化論"
ndc9:444	"太陽．太陽物理学"
ndc9:444.1	"太陽．太陽物理学--太陽の定数：大きさ，質量，太陽の電磁気現象"
ndc9:444.2	"太陽．太陽物理学--太陽熱"
ndc9:444.3	"太陽．太陽物理学--太陽の運動と自転"
ndc9:444.4	"太陽．太陽物理学--太陽表面．光球．太陽黒点．太陽周縁"
ndc9:444.5	"太陽．太陽物理学--彩層．紅炎．コロナ"
ndc9:444.6	"太陽．太陽物理学--太陽スペクトル"
ndc9:444.7	"太陽．太陽物理学--日蝕"
ndc9:444.8	"太陽．太陽物理学--太陽面図．太陽の写真"
ndc9:444.9	"太陽．太陽物理学--太陽・太陽系生成論"
ndc9:445	"惑星．衛星"
ndc9:445.1	"惑星．衛星--水星"
ndc9:445.2	"惑星．衛星--金星"
ndc9:445.3	"惑星．衛星--火星"
ndc9:445.4	"惑星．衛星--小惑星"
ndc9:445.5	"惑星．衛星--木星"
ndc9:445.6	"惑星．衛星--土星"
ndc9:445.7	"惑星．衛星--天王星"
ndc9:445.8	"惑星．衛星--海王星"
ndc9:445.9	"惑星．衛星--冥王星"
ndc9:446	"月"
ndc9:446.1	"月--月の定数．距離．視差"
ndc9:446.2	"月--月の温度．月光．月相"
ndc9:446.3	"月--月の軌道．月の運動"
ndc9:446.4	"月--月面：月の山，月の平原"
ndc9:446.5	"月--月の大気"
ndc9:446.6	"月--月のスペクトル"
ndc9:446.7	"月--月蝕"
ndc9:446.8	"月--月面図．月の写真"
ndc9:447	"彗星．流星"
ndc9:447.1	"彗星．流星--彗星"
