ndc9:2	"歴史（類目）"
ndc9:224.2	"アジア史．東洋史--インドネシア--ジャワ"
ndc9:224.3	"アジア史．東洋史--インドネシア--ボルネオ［カリマンタン］"
ndc9:224.4	"アジア史．東洋史--インドネシア--セレベス［スラウェシ］"
ndc9:224.5	"アジア史．東洋史--インドネシア--モルッカ［マルク］"
ndc9:224.6	"アジア史．東洋史--インドネシア--小スンダ列島．チモール"
ndc9:224.7	"アジア史．東洋史--インドネシア--イリアン・ジャヤ［西イリアン］"
ndc9:224.8	"アジア史．東洋史--インドネシア--フィリピン"
ndc9:225	"アジア史．東洋史--インド"
ndc9:225.1	"アジア史．東洋史--インド--東インド"
ndc9:225.2	"アジア史．東洋史--インド--ビハール州．オリッサ州"
ndc9:225.3	"アジア史．東洋史--インド--中央インド"
ndc9:225.4	"アジア史．東洋史--インド--北インド"
ndc9:225.5	"アジア史．東洋史--インド--西インド"
ndc9:225.6	"アジア史．東洋史--インド--南インド"
ndc9:225.7	"アジア史．東洋史--インド--パキスタン"
ndc9:225.8	"アジア史．東洋史--インド--ヒマラヤ地方"
ndc9:225.9	"アジア史．東洋史--インド--スリランカ［セイロン］．インド洋諸島"
ndc9:226	"アジア史．東洋史--西南アジア．中東［近東］"
ndc9:226.1	"アジア史．東洋史--西南アジア．中東［近東］--バルチスタン州"
ndc9:226.2	"アジア史．東洋史--西南アジア．中東［近東］--アフガニスタン"
ndc9:226.3	"アジア史．東洋史--西南アジア．中東［近東］--イラン［ペルシア］"
ndc9:226.6	"アジア史．東洋史--西南アジア．中東［近東］--トルコ"
ndc9:226.7	"アジア史．東洋史--西南アジア．中東［近東］--キプロス．ロードス島"
ndc9:227	"アジア史．東洋史--西南アジア．中東［近東］"
ndc9:227.1	"アジア史．東洋史--西南アジア．中東［近東］--アフガニスタン"
ndc9:227.2	"アジア史．東洋史--西南アジア．中東［近東］--イラン［ペルシア］"
ndc9:227.3	"アジア史．東洋史--西南アジア．中東［近東］--イラク［メソポタミア］"
ndc9:227.4	"アジア史．東洋史--西南アジア．中東［近東］--トルコ"
ndc9:227.5	"アジア史．東洋史--西南アジア．中東［近東］--シリア"
ndc9:227.6	"アジア史．東洋史--西南アジア．中東［近東］--レバノン"
ndc9:227.7	"アジア史．東洋史--西南アジア．中東［近東］--ヨルダン"
ndc9:227.8	"アジア史．東洋史--西南アジア．中東［近東］--アラビア半島"
ndc9:227.9	"アジア史．東洋史--西南アジア．中東［近東］--イスラエル"
ndc9:228	"アジア史．東洋史--アラブ諸国"
ndc9:228.1	"アジア史．東洋史--アラブ諸国--イラク［メソポタミア］"
ndc9:228.2	"アジア史．東洋史--アラブ諸国--シリア"
ndc9:228.3	"アジア史．東洋史--アラブ諸国--レバノン"
ndc9:228.4	"アジア史．東洋史--アラブ諸国--ヨルダン"
ndc9:228.5	"アジア史．東洋史--アラブ諸国--イスラエル"
ndc9:228.6	"アジア史．東洋史--アラブ諸国--アラビア半島"
ndc9:228.9	"アジア史．東洋史--アラブ諸国--バーレーン"
ndc9:229	"アジア史．東洋史--アジア・ロシア"
ndc9:229.1	"アジア史．東洋史--アジア・ロシア--北アジア．シベリア"
ndc9:229.2	"アジア史．東洋史--アジア・ロシア--極東地方"
ndc9:229.3	"アジア史．東洋史--アジア・ロシア--東シベリア地方"
ndc9:229.4	"アジア史．東洋史--アジア・ロシア--西シベリア地方"
ndc9:229.5	"アジア史．東洋史--アジア・ロシア--ウラル地区"
ndc9:229.6	"アジア史．東洋史--アジア・ロシア--中央アジア"
ndc9:229.7	"アジア史．東洋史--アジア・ロシア--コーカサス"
ndc9:229.8	"アジア史．東洋史--アジア・ロシア--北コーカサス"
ndc9:229.9	"アジア史．東洋史--アジア・ロシア--南コーカサス［外コーカサス］"
ndc9:23	"ヨーロッパ史．西洋史（綱目）"
ndc9:230	"ヨーロッパ史．西洋史"
ndc9:230.2	"ヨーロッパ史．西洋史--原始時代"
ndc9:230.3	"ヨーロッパ史．西洋史--古代 ―476"
ndc9:230.4	"ヨーロッパ史．西洋史--中世 476―1453"
ndc9:230.5	"ヨーロッパ史．西洋史--近代 1453―"
ndc9:230.6	"ヨーロッパ史．西洋史--19世紀"
ndc9:230.7	"ヨーロッパ史．西洋史--20世紀―"
ndc9:231	"ヨーロッパ史．西洋史--古代ギリシア"
ndc9:231.1	"ヨーロッパ史．西洋史--古代ギリシア--伝説神話時代"
ndc9:231.2	"ヨーロッパ史．西洋史--古代ギリシア--僭主時代．ペルシア戦争 500―449BC"
ndc9:231.3	"ヨーロッパ史．西洋史--古代ギリシア--ペリクレス時代 443―429BC"
ndc9:231.4	"ヨーロッパ史．西洋史--古代ギリシア--ペロポンネソス戦争 431―404BC"
ndc9:231.5	"ヨーロッパ史．西洋史--古代ギリシア--スパルタ・テーベの制覇．コリント戦争 404―387BC"
ndc9:231.6	"ヨーロッパ史．西洋史--古代ギリシア--マケドニア時代．神聖戦争 359―336BC"
ndc9:231.7	"ヨーロッパ史．西洋史--古代ギリシア--アレクサンドロス大王 356―323BC"
ndc9:231.8	"ヨーロッパ史．西洋史--古代ギリシア--ヘレニズム時代 328―146BC"
ndc9:231.9	"ヨーロッパ史．西洋史--古代ギリシア--ローマの支配 146BC―476AD"
ndc9:232	"ヨーロッパ史．西洋史--古代ローマ"
ndc9:232.3	"ヨーロッパ史．西洋史--古代ローマ--王政時代．エトルリア人の支配 753―509BC"
ndc9:232.4	"ヨーロッパ史．西洋史--古代ローマ--共和政時代 509―27BC"
ndc9:232.8	"ヨーロッパ史．西洋史--古代ローマ--帝政時代 27BC―476AD"
ndc9:233	"ヨーロッパ史．西洋史--イギリス．英国"
ndc9:233.2	"ヨーロッパ史．西洋史--イギリス．英国--スコットランド"
