ndc9:1	"哲学（類目）"
ndc9:163	"原始宗教．宗教民族学"
ndc9:163.1	"原始宗教．宗教民族学--自然崇拝"
ndc9:163.2	"原始宗教．宗教民族学--トーテミズム．タブー"
ndc9:163.3	"原始宗教．宗教民族学--アニマチズム．アニミズム"
ndc9:163.4	"原始宗教．宗教民族学--呪物崇拝．偶像崇拝．性器崇拝"
ndc9:163.5	"原始宗教．宗教民族学--聖者崇拝．生祠"
ndc9:163.8	"原始宗教．宗教民族学--呪詛"
ndc9:163.9	"原始宗教．宗教民族学--シャーマニズム［巫術］"
ndc9:164	"神話．神話学"
ndc9:164.1	"（神話．神話学--天照大神，猿田彦，素戔嗚尊，月読尊）"
ndc9:164.3	"（神話．神話学--ケルト神話，ゲルマン神話）"
ndc9:165	"比較宗教"
ndc9:165.1	"比較宗教--教義．教条"
ndc9:165.3	"比較宗教--教典"
ndc9:165.4	"比較宗教--宗教生活．道徳．禁欲．祈祷．礼拝"
ndc9:165.5	"比較宗教--社寺．教団．教職"
ndc9:165.6	"比較宗教--儀式．礼典"
ndc9:165.7	"比較宗教--布教．伝道"
ndc9:165.9	"比較宗教--宗教政策．宗教行政．宗教法令"
ndc9:166	"道教"
ndc9:166.1	"道教--教義．神仙思想"
ndc9:166.2	"道教--道教史．教祖．開祖：張道陵"
ndc9:166.3	"道教--教典．道蔵"
ndc9:166.5	"道教--道院．道士"
ndc9:166.6	"道教--行事．法術"
ndc9:166.7	"道教--布教"
ndc9:166.8	"道教--教派：正一教，真大道教，太乙教，全真教"
ndc9:167	"イスラム"
ndc9:167.1	"イスラム--教義．神学"
ndc9:167.2	"イスラム--イスラム史"
ndc9:167.3	"イスラム--教典：コーラン"
ndc9:167.4	"イスラム--信仰録．説教集"
ndc9:167.5	"イスラム--寺院"
ndc9:167.6	"イスラム--勤行：告白，祈祷，喜捨，断食，巡礼，戒律"
ndc9:167.7	"イスラム--布教．伝道"
ndc9:167.8	"イスラム--教派：スンニ派，シーア派"
ndc9:167.9	"イスラム--バハイズム［バーブ教］"
ndc9:168	"ヒンズー教．ジャイナ教"
ndc9:168.9	"ヒンズー教．ジャイナ教--ゾロアスター教［けん教］．マニ教．ミトラ教"
ndc9:169	"その他の宗教．新興宗教"
ndc9:169.1	"（その他の宗教．新興宗教--生長の家，天理教，PL教団）"
ndc9:17	"神道（綱目）"
ndc9:170	"神道"
ndc9:171	"神道思想．神道説"
ndc9:171.1	"神道思想．神道説--両部神道：天台神道，真言神道，三輪神道"
ndc9:171.2	"神道思想．神道説--伊勢神道［度会神道］"
ndc9:171.3	"神道思想．神道説--吉田神道．弓矢神道"
ndc9:171.4	"神道思想．神道説--伯家神道［白川神道］"
ndc9:171.5	"神道思想．神道説--吉川神道［理学神道］"
ndc9:171.6	"神道思想．神道説--垂加神道．儒家神道"
ndc9:171.7	"神道思想．神道説--土御門神道［安倍神道］"
ndc9:171.8	"神道思想．神道説--復古神道"
ndc9:171.9	"神道思想．神道説--その他の神道説"
ndc9:172	"神祇・神道史"
ndc9:172.9	"神祇・神道史--三種の神器．十種の神宝"
ndc9:173	"神典"
ndc9:173.9	"神典--神託．神異"
ndc9:174	"信仰録．説教集"
ndc9:175	"神社．神職"
ndc9:175.1	"神社．神職--神社と国家．国家神道．神社行政．神社法令．社格"
ndc9:175.2	"神社．神職--神格．神位［神階］．神名"
ndc9:175.5	"神社．神職--神殿．鳥居．神像．神札"
ndc9:175.6	"神社．神職--神領［社領］"
ndc9:175.7	"神社．神職--神職．服制．触穢"
ndc9:175.8	"神社．神職--伊勢神宮"
ndc9:175.9	"神社．神職--神社誌．神社縁起"
ndc9:176	"祭祀"
ndc9:176.3	"祭祀--祈祷"
ndc9:176.4	"祭祀--祝詞．祓詞"
ndc9:176.5	"祭祀--神饌．幣帛"
ndc9:176.6	"祭祀--祭具"
ndc9:176.7	"祭祀--歌舞音曲"
ndc9:176.8	"祭祀--神籖［おみくじ］．禁厭［まじない］"
ndc9:176.9	"祭祀--葬祭"
ndc9:177	"布教．伝道"
ndc9:178	"各教派．教派神道"
ndc9:178.1	"各教派．教派神道--神道大教"
ndc9:178.2	"各教派．教派神道--神道大成教"
ndc9:178.3	"各教派．教派神道--神理教"
ndc9:178.4	"各教派．教派神道--神習教"
ndc9:178.5	"各教派．教派神道--扶桑教"
ndc9:178.6	"各教派．教派神道--黒住教"
ndc9:178.7	"各教派．教派神道--金光教"
ndc9:178.9	"各教派．教派神道--その他各派"
ndc9:18	"仏教（綱目）"
ndc9:180	"仏教"
ndc9:180.7	"（仏教--仏教教育）"
ndc9:180.9	"仏教--ラマ教．三階教"
ndc9:181	"仏教教理．仏教哲学"
ndc9:181.2	"仏教教理．仏教哲学--教相判釈［教判論］"
ndc9:181.3	"仏教教理．仏教哲学--実相論．真如．法性．無為"
ndc9:181.4	"仏教教理．仏教哲学--縁起論．十二因縁．業．輪廻"
ndc9:181.5	"仏教教理．仏教哲学--機根論．菩薩論"
ndc9:181.6	"仏教教理．仏教哲学--修行論．仏教道徳．戒律"
ndc9:181.7	"仏教教理．仏教哲学--証果論．涅槃論"
ndc9:181.8	"仏教教理．仏教哲学--仏陀論：仏性，仏身，仏土"
ndc9:182	"仏教史"
ndc9:182.1	"（仏教史--廃仏毀釈）"
ndc9:182.2	"（仏教史--南伝仏教，南方仏教）"
ndc9:182.8	"仏教史--釈迦．仏弟子"
ndc9:182.9	"仏教史--仏跡"
ndc9:183	"経典"
ndc9:183.1	"経典--阿含部：阿含経，玉耶経，六方礼経"
ndc9:183.2	"経典--般若部：金剛経，心経，大般若経，仁王経"
ndc9:183.3	"経典--法華部：観音経，観普賢経，法華経，無量義経"
ndc9:183.4	"経典--華厳部：華厳経"
ndc9:183.5	"経典--宝積部：阿弥陀経，観無量寿経，勝鬘経，宝積経，無量寿経"
ndc9:183.6	"経典--経集部：円覚経，解深密経，金光明経，維摩経，楞伽経"
ndc9:183.7	"経典--秘密部：金剛頂経，首楞厳経，大日経，理趣経"
ndc9:183.8	"経典--律部．律疏"
ndc9:183.9	"経典--論部．論疏"
ndc9:184	"法話・説教集"
ndc9:184.9	"法話・説教集--仏教説話"
ndc9:185	"寺院．僧職"
ndc9:185.1	"寺院．僧職--寺院と国家．寺院行政・法令"
ndc9:185.2	"寺院．僧職--寺号．寺格．宗規"
ndc9:185.5	"寺院．僧職--伽藍．仏塔．梵鐘．卒塔婆．板碑"
ndc9:185.6	"寺院．僧職--寺院経済．寺領"
ndc9:185.7	"寺院．僧職--僧職．僧位．僧服"
ndc9:185.9	"寺院．僧職--寺誌．縁起"
ndc9:186	"仏会"
ndc9:186.1	"仏会--行持作法．法式．勤行"
ndc9:186.2	"仏会--講式：讃文"
ndc9:186.3	"仏会--表白起請"
ndc9:186.4	"仏会--仏具"
ndc9:186.5	"仏会--声明．諷誦．仏教音楽"
ndc9:186.6	"仏会--懴悔"
ndc9:186.7	"仏会--仏教美術"
ndc9:186.8	"仏会--仏像．菩薩：観世音菩薩"
ndc9:186.9	"仏会--巡礼"
ndc9:187	"仏教--布教．伝道"
ndc9:187.6	"仏教--布教．伝道--仏教の社会事業"
ndc9:187.7	"仏教--布教．伝道--仏教の教育事業．日曜学校"
ndc9:188	"仏教--各宗"
ndc9:188.1	"仏教--各宗--律宗"
ndc9:188.2	"仏教--各宗--論宗"
ndc9:188.3	"仏教--各宗--華厳宗"
ndc9:188.4	"仏教--各宗--天台宗"
ndc9:188.5	"仏教--各宗--真言宗［密教］"
ndc9:188.6	"仏教--各宗--浄土教．浄土宗"
ndc9:188.7	"仏教--各宗--真宗［浄土真宗］"
ndc9:188.8	"仏教--各宗--禅宗：臨済宗，曹洞宗，黄檗宗"
ndc9:188.9	"仏教--各宗--日蓮宗"
ndc9:19	"キリスト教（綱目）"
ndc9:190	"キリスト教"
ndc9:190.6	"キリスト教--団体：学会，協会，会議，YMCA，YWCA"
ndc9:190.7	"（キリスト教--英語 (キリスト教用)）"
ndc9:190.9	"キリスト教--自然神学"
ndc9:191	"教義．キリスト教神学"
ndc9:191.1	"教義．キリスト教神学--神．三位一体"
ndc9:191.2	"教義．キリスト教神学--キリスト論：犠牲，再来，贖罪，神性，審判，復活，メシア，ロゴス"
ndc9:191.3	"教義．キリスト教神学--人間．キリスト教人間学．原罪"
ndc9:191.4	"教義．キリスト教神学--救済論：恩寵，懴悔，宿命と自由意志，信仰"
ndc9:191.5	"教義．キリスト教神学--天使．悪魔．聖者"
ndc9:191.6	"教義．キリスト教神学--終末論：死，地獄，審判，天国，来世，煉獄，霊魂不滅"
ndc9:191.7	"教義．キリスト教神学--キリスト教道徳"
ndc9:191.8	"教義．キリスト教神学--信条［信仰箇条］"
ndc9:191.9	"教義．キリスト教神学--弁証法神学［危機神学．バルト神学］"
ndc9:192	"キリスト教史．迫害史"
ndc9:192.3	"（キリスト教史．迫害史--カタリ派，教会分裂 (1378-1417)，魔女，宗教改革，魔女裁判）"
